edit_thr,sim_thr,unique_keys
0,0.5,2
0,0.525,3
0,0.55,3
0,0.575,3
0,0.6,5
0,0.625,8
0,0.65,8
0,0.675,11
0,0.7,19
0,0.725,28
0,0.75,46
0,0.775,75
0,0.8,105
0,0.825,162
0,0.85,234
0,0.875,305
0,0.9,386
0,0.925,437
0,0.95,465
0,0.975,481
1,0.5,2
1,0.525,3
1,0.55,3
1,0.575,3
1,0.6,5
1,0.625,8
1,0.65,8
1,0.675,11
1,0.7,19
1,0.725,28
1,0.75,46
1,0.775,75
1,0.8,103
1,0.825,160
1,0.85,232
1,0.875,302
1,0.9,382
1,0.925,430
1,0.95,453
1,0.975,465
2,0.5,2
2,0.525,3
2,0.55,3
2,0.575,3
2,0.6,5
2,0.625,8
2,0.65,8
2,0.675,11
2,0.7,19
2,0.725,28
2,0.75,46
2,0.775,75
2,0.8,103
2,0.825,152
2,0.85,217
2,0.875,284
2,0.9,355
2,0.925,400
2,0.95,422
2,0.975,432
3,0.5,2
3,0.525,3
3,0.55,3
3,0.575,3
3,0.6,5
3,0.625,8
3,0.65,8
3,0.675,10
3,0.7,18
3,0.725,26
3,0.75,41
3,0.775,61
3,0.8,76
3,0.825,109
3,0.85,156
3,0.875,204
3,0.9,252
3,0.925,289
3,0.95,307
3,0.975,315
4,0.5,2
4,0.525,3
4,0.55,3
4,0.575,3
4,0.6,4
4,0.625,7
4,0.65,7
4,0.675,8
4,0.7,14
4,0.725,18
4,0.75,31
4,0.775,46
4,0.8,57
4,0.825,78
4,0.85,108
4,0.875,132
4,0.9,167
4,0.925,193
4,0.95,209
4,0.975,215
5,0.5,2
5,0.525,2
5,0.55,2
5,0.575,2
5,0.6,3
5,0.625,5
5,0.65,5
5,0.675,6
5,0.7,8
5,0.725,9
5,0.75,12
5,0.775,19
5,0.8,26
5,0.825,38
5,0.85,51
5,0.875,68
5,0.9,84
5,0.925,98
5,0.95,106
5,0.975,110
6,0.5,2
6,0.525,2
6,0.55,2
6,0.575,2
6,0.6,3
6,0.625,5
6,0.65,5
6,0.675,6
6,0.7,8
6,0.725,9
6,0.75,12
6,0.775,18
6,0.8,21
6,0.825,30
6,0.85,35
6,0.875,44
6,0.9,53
6,0.925,60
6,0.95,65
6,0.975,67
7,0.5,1
7,0.525,1
7,0.55,1
7,0.575,1
7,0.6,1
7,0.625,3
7,0.65,3
7,0.675,4
7,0.7,6
7,0.725,7
7,0.75,9
7,0.775,11
7,0.8,14
7,0.825,22
7,0.85,24
7,0.875,29
7,0.9,34
7,0.925,37
7,0.95,40
7,0.975,40
