metric,thr,kept,reduction
edit,0.0,472,0.03673469387755102
edit,1.0,474,0.03265306122448974
edit,2.0,479,0.022448979591836782
edit,3.0,481,0.01836734693877551
edit,4.0,482,0.01632653061224487
edit,5.0,482,0.01632653061224487
sim,0.4,482,0.01632653061224487
sim,0.45,482,0.01632653061224487
sim,0.5,482,0.01632653061224487
sim,0.55,482,0.01632653061224487
sim,0.6,482,0.01632653061224487
sim,0.65,482,0.01632653061224487
sim,0.7,482,0.01632653061224487
sim,0.75,481,0.01836734693877551
sim,0.8,481,0.01836734693877551
sim,0.85,478,0.024489795918367308
sim,0.9,477,0.026530612244897944
sim,0.95,475,0.030612244897959218
sim,1.0,299,0.38979591836734695
